0170|test_0170_users_api[chromium]|tests/20_playwright_e2e/api/test_01_api.py::test_0170_users_api[chromium]|PASSED|2.231667|
0177|test_0177_page_has_docs_link[chromium]|tests/20_playwright_e2e/general/test_00_args.py::test_0177_page_has_docs_link[chromium]|PASSED|2.793382|
0178|test_0178_page_visits_google_account[chromium]|tests/20_playwright_e2e/general/test_00_args.py::test_0178_page_visits_google_account[chromium]|PASSED|3.17014|
0185|test_0185_get_started_link[chromium]|tests/20_playwright_e2e/general/test_01_page.py::test_0185_get_started_link[chromium]|PASSED|3.747954|
0186|test_0186_get_started_link[chromium]|tests/20_playwright_e2e/general/test_02_text.py::test_0186_get_started_link[chromium]|PASSED|2.529337|
0187|test_0187_get_started_link[chromium]|tests/20_playwright_e2e/general/test_03_test_attribute.py::test_0187_get_started_link[chromium]|PASSED|2.573666|
0187|test_0187_get_started_link[chromium]|tests/20_playwright_e2e/general/test_04_element_state.py::test_0187_get_started_link[chromium]|PASSED|2.559326|
0188|test_0188_app[chromium]|tests/20_playwright_e2e/general/test_06_checkbox.py::test_0188_app[chromium]|PASSED|2.714723|
0189|test_0189_app[chromium]|tests/20_playwright_e2e/general/test_07_option_menu.py::test_0189_app[chromium]|PASSED|3.625171|
successful|test_successful_login[chromium]|tests/20_playwright_e2e/page_object_model/test_02_app.py::test_successful_login[chromium]|PASSED|5.863121|
failed|test_failed_login[chromium]|tests/20_playwright_e2e/page_object_model/test_02_app.py::test_failed_login[chromium]|PASSED|5.795539|
0190|test_0190_docs_link[chromium]|tests/20_playwright_e2e/page_object_model/test_04_app.py::test_0190_docs_link[chromium]|PASSED|3.802554|
0200|test_0200_dynamic_id[chromium]|tests/20_playwright_e2e/ui_testing_playground/test_07_class_attr.py::test_0200_dynamic_id[chromium]|PASSED|3.703373|
0201|test_0201_dynamic_id[chromium]|tests/20_playwright_e2e/ui_testing_playground/test_08_dynamic-id.py::test_0201_dynamic_id[chromium]|PASSED|3.698192|
0202|test_0202_hidden_layer[chromium]|tests/20_playwright_e2e/ui_testing_playground/test_09_hidden_layer.py::test_0202_hidden_layer[chromium]|PASSED|6.707049|
0203|test_0203_load_delay[chromium]|tests/20_playwright_e2e/ui_testing_playground/test_10_load_delay.py::test_0203_load_delay[chromium]|PASSED|9.588183|
0204|test_0204_click[chromium]|tests/20_playwright_e2e/ui_testing_playground/test_11__click.py::test_0204_click[chromium]|PASSED|3.757295|
0205|test_0205_scrollbars[chromium]|tests/20_playwright_e2e/ui_testing_playground/test_12_scrollbars.py::test_0205_scrollbars[chromium]|PASSED|3.857759|
0206|test_0206_dynamic_table[chromium]|tests/20_playwright_e2e/ui_testing_playground/test_13_dynamic_table.py::test_0206_dynamic_table[chromium]|PASSED|2.768614|
0207|test_0207_progressbar[chromium]|tests/20_playwright_e2e/ui_testing_playground/test_14_progress_bar.py::test_0207_progressbar[chromium]|PASSED|6.356669|
0208|test_0208_visibility[chromium]|tests/20_playwright_e2e/ui_testing_playground/test_15_visibility.py::test_0208_visibility[chromium]|PASSED|6.828653|
0230|test_0230_successful_login[chromium]|tests/20_playwright_e2e/ui_testing_playground/test_16_sample_app.py::test_0230_successful_login[chromium]|PASSED|3.123045|
0231|test_0231_failed_login[chromium]|tests/20_playwright_e2e/ui_testing_playground/test_16_sample_app.py::test_0231_failed_login[chromium]|PASSED|3.095618|
0252|test_0252_mouse_over[chromium]|tests/20_playwright_e2e/ui_testing_playground/test_17_mouseover.py::test_0252_mouse_over[chromium]|PASSED|4.817671|
0213|test_0213_nbsp[chromium]|tests/20_playwright_e2e/ui_testing_playground/test_18_nbsp.py::test_0213_nbsp[chromium]|PASSED|7.106106|
0171|test_0171_users_api|tests/20_playwright_e2e/api/test_02_api_context.py::test_0171_users_api|PASSED|0.307843|
0172|test_0172_users_search|tests/20_playwright_e2e/api/test_03_user_search.py::test_0172_users_search|PASSED|0.122561|
0175|test_0175_create_user|tests/20_playwright_e2e/api/test_04_crud_methods.py::test_0175_create_user|PASSED|0.128022|
0176|test_0176_update_user|tests/20_playwright_e2e/api/test_04_crud_methods.py::test_0176_update_user|PASSED|0.124335|
0177|test_0177_remove_user|tests/20_playwright_e2e/api/test_04_crud_methods.py::test_0177_remove_user|PASSED|0.125882|
